region;route;county
QC;QC109;Abitibi
QC;QC111;Abitibi
QC;QC113;Abitibi
QC;QC386;Abitibi
QC;QC395;Abitibi
QC;QC397;Abitibi
QC;QC399;Abitibi
QC;QC101;Abitibi-Ouest
QC;QC111;Abitibi-Ouest
QC;QC388;Abitibi-Ouest
QC;QC390;Abitibi-Ouest
QC;QC393;Abitibi-Ouest
QC;TCHQC;Acton
QC;A-20;Acton
QC;QC116;Acton
QC;QC139;Acton
QC;QC211;Acton
QC;QC222;Acton
QC;QC241;Acton
QC;TCHQC;Antoine-Labelle
QC;QC107;Antoine-Labelle
QC;QC117;Antoine-Labelle
QC;QC309;Antoine-Labelle
QC;QC311;Antoine-Labelle
QC;QC321;Antoine-Labelle
QC;A-50;Argenteuil
QC;QC148;Argenteuil
QC;QC158;Argenteuil
QC;QC327;Argenteuil
QC;QC329;Argenteuil
QC;QC344;Argenteuil
QC;TCHQC;Arthabaska
QC;A-20;Arthabaska
QC;A-955;Arthabaska
QC;QC116;Arthabaska
QC;QC122;Arthabaska
QC;QC161;Arthabaska
QC;QC162;Arthabaska
QC;QC165;Arthabaska
QC;QC216;Arthabaska
QC;QC218;Arthabaska
QC;QC255;Arthabaska
QC;QC261;Arthabaska
QC;QC263;Arthabaska
QC;QC132;Avignon
QC;A-73;Beauce-Sartigan
QC;QC108;Beauce-Sartigan
QC;QC173;Beauce-Sartigan
QC;QC204;Beauce-Sartigan
QC;QC269;Beauce-Sartigan
QC;QC271;Beauce-Sartigan
QC;QC275;Beauce-Sartigan
QC;A-30;Beauharnois-Salaberry
QC;A-530;Beauharnois-Salaberry
QC;QC132;Beauharnois-Salaberry
QC;QC138;Beauharnois-Salaberry
QC;QC201;Beauharnois-Salaberry
QC;QC203;Beauharnois-Salaberry
QC;QC205;Beauharnois-Salaberry
QC;QC207;Beauharnois-Salaberry
QC;QC236;Beauharnois-Salaberry
QC;A-30;Bécancour
QC;A-55;Bécancour
QC;QC132;Bécancour
QC;QC218;Bécancour
QC;QC226;Bécancour
QC;QC261;Bécancour
QC;QC263;Bécancour
QC;QC265;Bécancour
QC;TCHQC;Bellechasse
QC;A-20;Bellechasse
QC;QC132;Bellechasse
QC;QC173;Bellechasse
QC;QC216;Bellechasse
QC;QC218;Bellechasse
QC;QC228;Bellechasse
QC;QC275;Bellechasse
QC;QC277;Bellechasse
QC;QC279;Bellechasse
QC;QC281;Bellechasse
QC;QC132;Bonaventure
QC;QC299;Bonaventure
QC;A-10;Brome-Missisquoi
QC;QC104;Brome-Missisquoi
QC;QC133;Brome-Missisquoi
QC;QC139;Brome-Missisquoi
QC;QC202;Brome-Missisquoi
QC;QC213;Brome-Missisquoi
QC;QC215;Brome-Missisquoi
QC;QC233;Brome-Missisquoi
QC;QC235;Brome-Missisquoi
QC;QC237;Brome-Missisquoi
QC;QC241;Brome-Missisquoi
QC;QC243;Brome-Missisquoi
QC;QC389;Caniapiscau
QC;QC138;Charlevoix
QC;QC169;Charlevoix
QC;QC175;Charlevoix
QC;QC362;Charlevoix
QC;QC381;Charlevoix
QC;QC138;Charlevoix-Est
QC;QC170;Charlevoix-Est
